"name","capital","population"
"Madagascar","{Antananarivo}",27691019
"Iraq","{Baghdad}",40222503
"Nicaragua","{Managua}",6624554
"Lebanon","{Beirut}",6825442
"Western Sahara","{""El Aaiún""}",510713
"New Zealand","{Wellington}",5084300
"Sri Lanka","{""Sri Jayawardenepura Kotte""}",21919000
"Austria","{Vienna}",8917205
"Norway","{Oslo}",5379475
"Belize","{Belmopan}",397621
"Palestine","{Ramallah,Jerusalem}",4803269
"United Arab Emirates","{""Abu Dhabi""}",9890400
"Belize","{Belmopan}",397621
"Micronesia","{Palikir}",115021
"Hong Kong","{""City of Victoria""}",7500700
"Kazakhstan","{Nur-Sultan}",18754440
"Somalia","{Mogadishu}",15893219
"Cook Islands","{Avarua}",18100
"Czechia","{Prague}",10698896
"Moldova","{Chișinău}",2617820
